noeea,name,x_icold,y_icold,score,x_prop,y_prop,x_val,y_val,area,cap_total,ic_city,country,lake_name,river_id,river_name,year_opp,year_dead,comments,valid,ic_continent,is_main,noeea_m,is_icold,alias,ic_year,ic_state,ic_high,ic_high_guessed,ic_length,ic_length_guessed,ic_vol,ic_purpose,ic_owner,ic_note,ic_particular,ic_international,ic_sealing,ic_foundation,ic_capacity,ic_area,ic_spill,ic_type_spill,ic_engineer,ic_contractor,ic_p_mw,ic_e_whpyear,ic_irrigation,ic_floodstock,ic_settlement,
"DSP0478","HERMIGUA","-16.99","28.15","0","-32768","-32768","0","0","20","160","HERMIGUA","SP","","10256","","-32768","-32768","","","","t","","t","","1968","STA. DE CRUZ DE TENERIFE","35","f","107","f","23","I","AUTONOMIA CANARIAS","","","","","","160","20","41","L","F-ASCANIO Y F. THOME","CABILDO","","","","","",
"DSP0479","JAROSA, LA","-4.11","40.66","0","-32768","-32768","0","0","929","6500","GUADARRAMA","SP","","9775","","-32768","-32768","","","","t","","t","","1968","MADRID","54","f","213","f","111","S","CANAL DE ISABEL II","","","","","R","6500","929","240","V","J. GAVALA","OBRAS Y SERVICIOS PÚBLICOS S.A.","","","","","",
"DSP0480","NAVACERRADA","-4","40.71","0","-32768","-32768","0","0","929","11046","NAVACERRADA","SP","","10506","","-32768","-32768","","","","t","","t","","1968","MADRID","47","f","507","f","175","I","CANAL DE ISABEL II","","","","","R","11046","929","240","V","J. GAVALA","AGROMAN","","","","","",
"DSP0481","NAVALMEDIO","-4.03","40.74","0","-32768","-32768","0","0","75","714","CERCEDILLA","SP","","10508","","-32768","-32768","","","","t","","t","","1968","MADRID","47","f","170","f","56","S","CANAL DE ISABEL II","","","","","R","714","75","160","V","J. GAVALA","COVILES","","","","","",
"DSP0482","NAVALMEDIO (DIQUE DEL COLLADO)","-4.03","40.74","0","-32768","-32768","0","0","75","","CERCEDILLA","SP","","10508","","-32768","-32768","","","","f","DSP0481","t","","1968","MADRID","29","f","225","f","28","S","CANAL DE ISABEL II","NAVALMEDIO","","","","R","","75","0"," -","J. GAVALA","COVILES","","","","","",
"DSP0483","PIEDRAS","-7.26","37.36","0","-32768","-32768","0","0","7960","59500","CARTAYA, LEPE","SP","","10754","","-32768","-32768","","","","t","","t","","1968","HUELVA","40","f","620","f","465","I","ESTADO","","","","fc","R","59500","7960","750","L","C.TORRES Y F. DAMBORENEA","DRAGADOS","","","","","",
"DSP0485","PUENTELARRA","-3.04","42.75","0","-32768","-32768","0","0","400","1500","BOZOO","SP","","9156","","-32768","-32768","","","","t","","t","","1968","BURGOS","26","f","130","f","20","SH","IBERDROLA","","","","","R","1500","400","1800","V","P-ARTOLA","ARREGUI CNES.","","","","","",
"DSP0486","ROBLEDO DE CHAVELA","-4.26","40.53","0","-32768","-32768","0","0","42","200","VALDEMAQUEDA","SP","","8893","","-32768","-32768","","","","t","","t","","1968","MADRID","23","f","83","f","10","S","AYUNTAMIENTO ROBLEDO","","","","","R","200","42","420","L","J-GRANDA","AYUNTAMIENTO ROBLEDO CHAVELA","","","","","",
"DSP0487","ROZAS, LAS","-5.29","42.93","0","-32768","-32768","0","0","1600","28000","VILLABLINO, PARAMO SIL","SP","","11293","","-32768","-32768","","","","t","","t","","1968","LEON","71","f","171","f","165","H","ENDESA","","","","","R","28000","1600","1436","V","A-ALVAREZ Y J. TORAL","HELMA","","","","","",
"DSP0488","SANTIAGO","-7.07","42.4","0","-32768","-32768","0","0","530","1730","VILLAMARTIN","SP","","11293","","-32768","-32768","","","","t","","t","","1968","OURENSE","20","f","147","f","27","H","IBERDROLA","","","","","R","1730","530","3500","V","S-CASTRO Y A. DEL CAMPO","SALTOS DEL SIL","","","","","",
